gene_symbol	hgnc_id	entrez_id	count
ABHD17B	HGNC:24278	Entrez:51104	0
ABHD17C	HGNC:26925	Entrez:58489	0
ABHD18	HGNC:26111	Entrez:80167	0
ABHD2	HGNC:18717	Entrez:11057	0
ABHD3	HGNC:18718	Entrez:171586	0
ABHD4	HGNC:20154	Entrez:63874	0
ABHD5	HGNC:21396	Entrez:51099	0
ABHD6	HGNC:21398	Entrez:57406	28
ABHD8	HGNC:23759	Entrez:79575	27
ABI1	HGNC:11320	Entrez:10006	34
ABI1P1	HGNC:20035	Entrez:326268	0
ABI2	HGNC:24011	Entrez:10152	31
ABI3	HGNC:29859	Entrez:51225	0
ABI3BP	HGNC:17265	Entrez:25890	83
ABITRAM	HGNC:1364	Entrez:54942	0
ABITRAMP1	HGNC:39851	Entrez:390403	0
ABL1	HGNC:76	Entrez:25	80
ABL2	HGNC:77	Entrez:27	72
ABLIM1	HGNC:78	Entrez:3983	84
ABLIM2	HGNC:19195	Entrez:84448	108
ABLIM3	HGNC:29132	Entrez:22885	123
ABO	HGNC:79	Entrez:28	0
ABR	HGNC:81	Entrez:29	16
ABR-AS1	HGNC:55674	Entrez:105371479	0
ABRA	HGNC:30655	Entrez:137735	32
ABRACL	HGNC:21230	Entrez:58527	0
ABRAXAS1	HGNC:25829	Entrez:84142	0
ABRAXAS1P1	HGNC:56461	Entrez:100421580	0
ABRAXAS1P2	HGNC:56462	Entrez:100133073	0
ABRAXAS2	HGNC:28975	Entrez:23172	0
ABT1	HGNC:17369	Entrez:29777	41
ABT1P1	HGNC:39557	Entrez:100420695	0
ABTB1	HGNC:18275	Entrez:80325	82
ABTB2	HGNC:23842	Entrez:25841	49
ABTB3	HGNC:23844	Entrez:121551	0
ACAA1	HGNC:82	Entrez:30	0
ACAA2	HGNC:83	Entrez:10449	0
ACAA2P1	HGNC:55880	Entrez:100420869	0
ACACA	HGNC:84	Entrez:31	86
ACACB	HGNC:85	Entrez:32	329
ACAD10	HGNC:21597	Entrez:80724	139
ACAD11	HGNC:30211	Entrez:84129	83
ACAD8	HGNC:87	Entrez:27034	31
ACAD9	HGNC:21497	Entrez:28976	58
ACAD9-DT	HGNC:56086	Entrez:123706524	0
ACADL	HGNC:88	Entrez:33	60
